name,city,region,climbing_type,address,latitude,longitude,official_website,source_url,verification_status,publish_status,notes
Arena Wspinaczkowa Makak,Warszawa,mazowieckie,Boulder + lina,,,,,https://wspin.com.pl/scianka/arena-wspinaczkowa-makak-warszawa,to_verify,draft,
Arena Wspinaczkowa Wgórę,Warszawa,mazowieckie,Boulder + lina,,,,,https://wspin.com.pl/scianka/arena-wspinaczkowa-wgore-warszawa,to_verify,draft,
Camp4,Warszawa,mazowieckie,Boulder + lina,,,,,https://wspin.com.pl/scianka/camp4-warszawa,to_verify,draft,
Centrum Wspinania W Pionie,Warszawa,mazowieckie,Boulder + lina,,,,,https://wspin.com.pl/scianka/centrum-wspinania-w-pionie-warszawa,to_verify,draft,
Crux Boulder,Warszawa,mazowieckie,Boulder,,,,,https://wspin.com.pl/scianka/crux-boulder-warszawa,to_verify,draft,
Murall Annopol,Warszawa,mazowieckie,Boulder + lina,,,,,https://wspin.com.pl/scianka/murall-annopol-warszawa,to_verify,draft,
Murall Górczewska,Warszawa,mazowieckie,Boulder,,,,,https://wspin.com.pl/scianka/murall-gorczewska-warszawa,to_verify,draft,
Murall Krakowska,Warszawa,mazowieckie,Boulder + lina,,,,,https://wspin.com.pl/scianka/murall-krakowska-warszawa,to_verify,draft,
OBIEKTO,Warszawa,mazowieckie,Boulder,,,,,https://wspin.com.pl/scianka/obiekto-warszawa,to_verify,draft,
Stacja Grawitacja,Warszawa,mazowieckie,Boulder + lina,,,,,https://wspin.com.pl/scianka/stacja-grawitacja-warszawa,to_verify,draft,
VOLT Boulderownia,Warszawa,mazowieckie,Boulder,,,,,https://wspin.com.pl/scianka/volt-boulderownia-warszawa,to_verify,draft,
WEST Bouldering,Warszawa,mazowieckie,Boulder,,,,,https://wspin.com.pl/scianka/west-bouldering-warszawa,to_verify,draft,
